Gene	c2	c4	c3	Anc3	Anc2	c1	c5	Anc4	Anc1
c1_THBS1	3	3	3	3	3	2	3	3	3
c1_TIMM13	3	3	3	3	3	2	3	3	3
c1_TMED10	3	3	3	3	3	2	3	3	3
c1_TMED2	3	3	3	3	3	2	3	3	3
c1_TMEM217	3	3	3	3	3	2	3	3	3
c1_TMEM231	3	3	3	3	3	2	3	3	3
c1_TMEM232	3	3	3	3	3	2	3	3	3
c1_TMEM59	3	3	3	3	3	2	3	3	3
c1_TNXB	3	3	3	3	3	2	3	3	3
c1_TPCN1	3	3	3	3	3	2	3	3	3
c1_TPPP3	3	3	3	3	3	2	3	3	3
c1_TRIM25	3	3	3	3	3	2	3	3	3
c1_TTC23L	3	3	3	3	3	2	3	3	3
c1_TTPA	3	3	3	3	3	2	3	3	3
c1_TWIST1	3	3	3	3	3	2	3	3	3
c1_UBASH3B	3	3	3	3	3	2	3	3	3
c1_UBXN4	3	3	3	3	3	2	3	3	3
c1_WDR35	3	3	3	3	3	2	3	3	3
c1_WDR81	3	3	3	3	3	2	3	3	3
c1_ZBED3-AS1	3	3	3	3	3	2	3	3	3
c1_ZNF524	3	3	3	3	3	2	3	3	3
DUMMY40	-100	-100	-100	-100	-100	-100	-100	-100	-100
c1_AHRR	2	3	3	3	2	2	2	2	2
c1_SERINC2	2	3	3	3	2	2	2	2	2
c1_RORB	2	3	3	3	2	2	2	2	2
c1_MIR4435-2HG	2	3	3	3	2	2	2	2	2
c1_MYH14	2	3	3	3	2	2	2	2	2
c1_NACA	2	3	3	3	2	2	2	2	2
c1_PRR5L	2	3	3	3	2	2	2	2	2
DUMMY41	-100	-100	-100	-100	-100	-100	-100	-100	-100
c1_AC005790.1	2	2	2	2	2	2	3	2	2
c1_AC009962.1	2	2	2	2	2	2	3	2	2
c1_AC016708.1	2	2	2	2	2	2	3	2	2
c1_AC019069.1	2	2	2	2	2	2	3	2	2
c1_AC093677.2	2	2	2	2	2	2	3	2	2
c1_AC103591.3	2	2	2	2	2	2	3	2	2
c1_AC105277.1	2	2	2	2	2	2	3	2	2
c1_ACP6	2	2	2	2	2	2	3	2	2
c1_AL355075.4	2	2	2	2	2	2	3	2	2
c1_AMOT	2	2	2	2	2	2	3	2	2
c1_ANGPTL1	2	2	2	2	2	2	3	2	2
c1_AP000880.1	2	2	2	2	2	2	3	2	2
c1_APOL1	2	2	2	2	2	2	3	2	2
c1_APOL6	2	2	2	2	2	2	3	2	2
c1_ARHGAP11B	2	2	2	2	2	2	3	2	2
c1_ATAD5	2	2	2	2	2	2	3	2	2
c1_AURKA	2	2	2	2	2	2	3	2	2
c1_C1QTNF2	2	2	2	2	2	2	3	2	2
