ffinal3...1.	WTCa_vs_WT	WT_vs_WTFK	WT_vs_cna1	WT_vs_crz1	WTCa_vs_WTFK	WTCa_vs_cna1	WTCa_vs_crz1	WTFK_vs_cna1	WTFK_vs_crz1	cna1_vs_crz1
CAGL0A02904g	0.2020256435	-0.0625973969	-0.2329812105	-0.2178149856	0.1394282466	-0.030955567	-0.0157893421000000	-0.1703838136	-0.1552175887	0.0151662249000001
CAGL0A02926g	-0.2220300335	0.2537165842	0.1178867769	-0.0229642786	0.0316865507	-0.1041432566	-0.2449943121	-0.1358298073	-0.2766808628	-0.1408510555
CAGL0A02948g	-0.0808610538	0.0275383139	0.110767342	0.1011087243	-0.0533227399	0.0299062882000000	0.0202476705000000	0.0832290281	0.0735704104	-0.00965861770000001
CAGL0A02970g	-0.0174635468	-0.01888018	-0.0374929389	-0.0330018689000000	-0.0363437268	-0.0549564857	-0.0504654157	-0.0186127589000001	-0.0141216889000001	0.00449107
CAGL0A02992g	0.1464427524	-0.2731992467	-0.1117765811	-0.0714889723	-0.1267564943	0.0346661713	0.0749537801	0.1614226656	0.2017102744	0.0402876088
CAGL0A03014g	-0.0261118442	-0.0879474583	0.0711984413	-0.1004048077	-0.1140593025	0.0450865970999999	-0.1265166519	0.1591458996	-0.0124573494000001	-0.171603249
CAGL0A03036g	0.2407497122	-0.5298105027	-0.120809929500000	-0.0401270136	-0.2890607905	0.1199397827	0.2006226986	0.4090005732	0.4896834891	0.0806829159
CAGL0A03058g	-0.0153035158000000	0.0930340648	0.1395895742	-0.0723265937999999	0.077730549	0.1242860584	-0.0876301096	0.0465555094000001	-0.1653606586	-0.211916168
CAGL0A03080g	0.0477517107	-0.17271355	-0.2589273851	-0.2574911467	-0.124961839300000	-0.2111756744	-0.209739436	-0.0862138351	-0.0847775967	0.00143623840000002
CAGL0A03102g	-0.085003419	0.0431671119999999	0.2021503311	0.9776803494	-0.0418363070000001	0.1171469121	0.8926769304	0.1589832191	0.9345132374	0.7755300183
CAGL0A03117	0.2171666553	-0.0951156227999999	-0.0129816431999999	0.1772587428	0.1220510325	0.2041850121	0.3944253981	0.0821339796000001	0.2723743656	0.190240386
CAGL0A03146g	-0.2254982224	0.1520125385	0.201391272	-0.0789954283999999	-0.0734856839	-0.0241069504000000	-0.3044936508	0.0493787335	-0.2310079669	-0.2803867004
CAGL0A03168g	0.103601509400000	0.0747277219	-0.0853821402999998	0.0351185013000002	0.1783292313	0.0182193691000000	0.1387200107	-0.1601098622	-0.0396092205999998	0.1205006416
CAGL0A03190g	0.0342930972	-0.189875762	-0.2194466692	-0.0744297236	-0.1555826648	-0.185153572	-0.0401366263999999	-0.0295709072000000	0.1154460384	0.1450169456
